"","species_code","days","mass_init","mass_rem","fTreatment","fTub","sp_abrev","species","family","gf","gf_old","0LAM","0DMC","0N","0C","0HC_1","0HC_2","0CL","0LG","value_type","0HC","mRem","mInit","t","LAM","DMC","N","C","HC","CL","LG"
"1","A",0,3870,3870,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.26100978602383,8.26100978602383,0,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"2","A",0,3870,3870,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.26100978602383,8.26100978602383,0,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"3","A",0,3870,3870,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.26100978602383,8.26100978602383,0,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"4","A",14,4220,3720,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.22147894726719,8.34759040703006,0.0383561643835616,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"5","A",14,4230,3730,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.22416351263786,8.34995727204032,0.0383561643835616,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"6","A",14,3980,3380,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.12563098847706,8.28903709827848,0.0383561643835616,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"7","A",28,4060,3590,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.18590748148232,8.30893825259578,0.0767123287671233,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"8","A",28,3960,3270,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.0925452638913,8.28399930424853,0.0767123287671233,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"9","A",28,4180,3680,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.21066803116298,8.3380665255188,0.0767123287671233,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"10","A",42,4300,3770,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.23483028044206,8.36637030168165,0.115068493150685,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"11","A",42,4150,3400,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.13153071060425,8.33086361322474,0.115068493150685,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"12","A",42,4290,3750,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.22951111896446,8.36404201192206,0.115068493150685,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
"13","A",84,4200,3430,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",0.152139386483157,450.972256407078,0.77926,45.282,NA,21.5534446122918,17.6841508781817,30.4854847859814,"mean",21.5534446122918,8.14031554015999,8.34283980427146,0.23013698630137,-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,0.902624392511577,0.681608323849649,-0.289804195811311
